addr,v5,v6,v5_comment,v6_comment
0,3df01,3df01,SPIWrite [3DF]=01,SPIWrite [3DF]=01
1,29514,29514,"SPIWrite [295]=14, Power up XO path (Default)","SPIWrite [295]=14, Power up XO path (Default)"
2,2a60e,2a60e,"SPIWrite [2A6]=0E, Enable Master Bias","SPIWrite [2A6]=0E, Enable Master Bias"
3,2a80e,2a80e,"SPIWrite [2A8]=0E, Set Bandgap Trim","SPIWrite [2A8]=0E, Set Bandgap Trim"
4,29208,29208,"SPIWrite [292]=08, Set DCXO Coarse Tune[5:0]","SPIWrite [292]=08, Set DCXO Coarse Tune[5:0]"
5,29380,29380,"SPIWrite [293]=80, Set DCXO Fine Tune [12:5]","SPIWrite [293]=80, Set DCXO Fine Tune [12:5]"
6,29400,29400,"SPIWrite [294]=00, Set DCXO Fine Tune [4:0]","SPIWrite [294]=00, Set DCXO Fine Tune [4:0]"
7,2ab07,2ab07,"SPIWrite [2AB]=07, Set RF PLL reflclk scale to REFCLK * 2","SPIWrite [2AB]=07, Set RF PLL reflclk scale to REFCLK * 2"
8,2acff,2acff,"SPIWrite [2AC]=FF, Set RF PLL reflclk scale to REFCLK * 2","SPIWrite [2AC]=FF, Set RF PLL reflclk scale to REFCLK * 2"
9,00907,00917,"SPIWrite [009]=07, Enable Clocks","SPIWrite [009]=17, Enable Clocks"
10,40000,40000,"WAIT 20 ms, waits 20 ms","WAIT 20 ms, waits 20 ms"
11,04500,04500,"SPIWrite [045]=00, Set BBPLL reflclk scale to REFCLK /1","SPIWrite [045]=00, Set BBPLL reflclk scale to REFCLK /1"
12,04602,04602,"SPIWrite [046]=02, Set BBPLL Loop Filter Charge Pump current","SPIWrite [046]=02, Set BBPLL Loop Filter Charge Pump current"
13,048e8,048e8,"SPIWrite [048]=E8, Set BBPLL Loop Filter C1, R1","SPIWrite [048]=E8, Set BBPLL Loop Filter C1, R1"
14,0495b,0495b,"SPIWrite [049]=5B, Set BBPLL Loop Filter R2, C2, C1","SPIWrite [049]=5B, Set BBPLL Loop Filter R2, C2, C1"
15,04a35,04a35,"SPIWrite [04A]=35, Set BBPLL Loop Filter C3,R2","SPIWrite [04A]=35, Set BBPLL Loop Filter C3,R2"
16,04be0,04be0,"SPIWrite [04B]=E0, Allow calibration to occur and set cal count to 1024 for max accuracy","SPIWrite [04B]=E0, Allow calibration to occur and set cal count to 1024 for max accuracy"
17,04e10,04e10,"SPIWrite [04E]=10, Set calibration clock to REFCLK/4 for more accuracy","SPIWrite [04E]=10, Set calibration clock to REFCLK/4 for more accuracy"
18,0431f,0431f,"SPIWrite [043]=1F, BBPLL Freq Word (Fractional[7:0])","SPIWrite [043]=1F, BBPLL Freq Word (Fractional[7:0])"
19,042c5,042c5,"SPIWrite [042]=C5, BBPLL Freq Word (Fractional[15:8])","SPIWrite [042]=C5, BBPLL Freq Word (Fractional[15:8])"
20,0410d,0410d,"SPIWrite [041]=0D, BBPLL Freq Word (Fractional[23:16])","SPIWrite [041]=0D, BBPLL Freq Word (Fractional[23:16])"
21,04412,04412,"SPIWrite [044]=12, BBPLL Freq Word (Integer[7:0])","SPIWrite [044]=12, BBPLL Freq Word (Integer[7:0])"
22,03f05,03f05,"SPIWrite [03F]=05, Start BBPLL Calibration","SPIWrite [03F]=05, Start BBPLL Calibration"
23,03f01,03f01,"SPIWrite [03F]=01, Clear BBPLL start calibration bit","SPIWrite [03F]=01, Clear BBPLL start calibration bit"
24,04c86,04c86,"SPIWrite [04C]=86, Increase BBPLL KV and phase margin","SPIWrite [04C]=86, Increase BBPLL KV and phase margin"
25,04d01,04d01,"SPIWrite [04D]=01, Increase BBPLL KV and phase margin","SPIWrite [04D]=01, Increase BBPLL KV and phase margin"
26,04d05,04d05,"SPIWrite [04D]=05, Increase BBPLL KV and phase margin","SPIWrite [04D]=05, Increase BBPLL KV and phase margin"
27,40000,40000,"WAIT 20 ms, WAIT_CALDONE	BBPLL,2000	, Wait for BBPLL to lock, Timeout 2sec, Max BBPLL VCO Cal Time: 345.600 us (Done when 0x05E[7]==1)","WAIT 20 ms, WAIT_CALDONE	BBPLL,2000	, Wait for BBPLL to lock, Timeout 2sec, Max BBPLL VCO Cal Time: 345.600 us (Done when 0x05E[7]==1)"
28,002e1,002e1,"SPIWrite [002]=E1, Setup Tx Digital Filters/ Channels","SPIWrite [002]=E1, Setup Tx Digital Filters/ Channels"
29,003e2,003e2,"SPIWrite [003]=E2, Setup Rx Digital Filters/ Channels","SPIWrite [003]=E2, Setup Rx Digital Filters/ Channels"
30,00403,00403,"SPIWrite [004]=03, Select Rx input pin(A,B,C)/ Tx out pin (A,B)","SPIWrite [004]=03, Select Rx input pin(A,B,C)/ Tx out pin (A,B)"
31,00a09,00a09,"SPIWrite [00A]=09, Set BBPLL post divide rate","SPIWrite [00A]=09, Set BBPLL post divide rate"
32,0655a,0655a,"SPIWrite [065]=5A, Enable clock to Tx FIR Filter and set Filter gain Setting","SPIWrite [065]=5A, Enable clock to Tx FIR Filter and set Filter gain Setting"
33,40000,40000,"WAIT 1 ms, waits 1 ms","WAIT 1 ms, waits 1 ms"
34,06000,06000,"SPIWrite [060]=00, Write FIR coefficient address","SPIWrite [060]=00, Write FIR coefficient address"
35,06109,06109,"SPIWrite [061]=09, Write FIR coefficient data[7:0]","SPIWrite [061]=09, Write FIR coefficient data[7:0]"
36,06200,06200,"SPIWrite [062]=00, Write FIR coefficient data[15:8]","SPIWrite [062]=00, Write FIR coefficient data[15:8]"
37,0655e,0655e,"SPIWrite [065]=5E, Set Write EN to push data into FIR filter register map","SPIWrite [065]=5E, Set Write EN to push data into FIR filter register map"
38,06400,06400,"SPIWrite [064]=00, Write to Read only register to delay ~1us","SPIWrite [064]=00, Write to Read only register to delay ~1us"
39,06400,06400,"SPIWrite [064]=00, Write to Read only register to delay ~1us","SPIWrite [064]=00, Write to Read only register to delay ~1us"
40,06001,06001,SPIWrite [060]=01,SPIWrite [060]=01
41,06175,06175,SPIWrite [061]=75,SPIWrite [061]=75
42,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
43,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
44,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
45,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
46,06002,06002,SPIWrite [060]=02,SPIWrite [060]=02
47,061ed,061ed,SPIWrite [061]=ED,SPIWrite [061]=ED
48,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
49,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
50,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
51,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
52,06003,06003,SPIWrite [060]=03,SPIWrite [060]=03
53,061bb,061bb,SPIWrite [061]=BB,SPIWrite [061]=BB
54,062ff,062ff,SPIWrite [062]=FF,SPIWrite [062]=FF
55,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
56,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
57,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
58,06004,06004,SPIWrite [060]=04,SPIWrite [060]=04
59,061d1,061d1,SPIWrite [061]=D1,SPIWrite [061]=D1
60,062fe,062fe,SPIWrite [062]=FE,SPIWrite [062]=FE
61,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
62,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
63,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
64,06005,06005,SPIWrite [060]=05,SPIWrite [060]=05
65,06124,06124,SPIWrite [061]=24,SPIWrite [061]=24
66,06201,06201,SPIWrite [062]=01,SPIWrite [062]=01
67,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
68,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
69,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
70,06006,06006,SPIWrite [060]=06,SPIWrite [060]=06
71,06156,06156,SPIWrite [061]=56,SPIWrite [061]=56
72,06201,06201,SPIWrite [062]=01,SPIWrite [062]=01
73,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
74,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
75,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
76,06007,06007,SPIWrite [060]=07,SPIWrite [060]=07
77,06139,06139,SPIWrite [061]=39,SPIWrite [061]=39
78,062fd,062fd,SPIWrite [062]=FD,SPIWrite [062]=FD
79,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
80,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
81,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
82,06008,06008,SPIWrite [060]=08,SPIWrite [060]=08
83,06191,06191,SPIWrite [061]=91,SPIWrite [061]=91
84,062ff,062ff,SPIWrite [062]=FF,SPIWrite [062]=FF
85,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
86,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
87,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
88,06009,06009,SPIWrite [060]=09,SPIWrite [060]=09
89,061dc,061dc,SPIWrite [061]=DC,SPIWrite [061]=DC
90,06204,06204,SPIWrite [062]=04,SPIWrite [062]=04
91,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
92,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
93,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
94,0600a,0600a,SPIWrite [060]=0A,SPIWrite [060]=0A
95,06177,06177,SPIWrite [061]=77,SPIWrite [061]=77
96,062fd,062fd,SPIWrite [062]=FD,SPIWrite [062]=FD
97,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
98,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
99,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
100,0600b,0600b,SPIWrite [060]=0B,SPIWrite [060]=0B
101,061bb,061bb,SPIWrite [061]=BB,SPIWrite [061]=BB
102,062f9,062f9,SPIWrite [062]=F9,SPIWrite [062]=F9
103,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
104,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
105,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
106,0600c,0600c,SPIWrite [060]=0C,SPIWrite [060]=0C
107,06190,06190,SPIWrite [061]=90,SPIWrite [061]=90
108,06208,06208,SPIWrite [062]=08,SPIWrite [062]=08
109,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
110,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
111,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
112,0600d,0600d,SPIWrite [060]=0D,SPIWrite [060]=0D
113,061ed,061ed,SPIWrite [061]=ED,SPIWrite [061]=ED
114,06204,06204,SPIWrite [062]=04,SPIWrite [062]=04
115,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
116,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
117,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
118,0600e,0600e,SPIWrite [060]=0E,SPIWrite [060]=0E
119,06148,06148,SPIWrite [061]=48,SPIWrite [061]=48
120,062ec,062ec,SPIWrite [062]=EC,SPIWrite [062]=EC
121,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
122,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
123,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
124,0600f,0600f,SPIWrite [060]=0F,SPIWrite [060]=0F
125,06130,06130,SPIWrite [061]=30,SPIWrite [061]=30
126,06205,06205,SPIWrite [062]=05,SPIWrite [062]=05
127,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
128,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
129,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
130,06010,06010,SPIWrite [060]=10,SPIWrite [060]=10
131,061ae,061ae,SPIWrite [061]=AE,SPIWrite [061]=AE
132,06246,06246,SPIWrite [062]=46,SPIWrite [062]=46
133,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
134,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
135,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
136,06011,06011,SPIWrite [060]=11,SPIWrite [060]=11
137,061ae,061ae,SPIWrite [061]=AE,SPIWrite [061]=AE
138,06246,06246,SPIWrite [062]=46,SPIWrite [062]=46
139,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
140,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
141,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
142,06012,06012,SPIWrite [060]=12,SPIWrite [060]=12
143,06130,06130,SPIWrite [061]=30,SPIWrite [061]=30
144,06205,06205,SPIWrite [062]=05,SPIWrite [062]=05
145,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
146,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
147,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
148,06013,06013,SPIWrite [060]=13,SPIWrite [060]=13
149,06148,06148,SPIWrite [061]=48,SPIWrite [061]=48
150,062ec,062ec,SPIWrite [062]=EC,SPIWrite [062]=EC
151,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
152,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
153,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
154,06014,06014,SPIWrite [060]=14,SPIWrite [060]=14
155,061ed,061ed,SPIWrite [061]=ED,SPIWrite [061]=ED
156,06204,06204,SPIWrite [062]=04,SPIWrite [062]=04
157,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
158,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
159,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
160,06015,06015,SPIWrite [060]=15,SPIWrite [060]=15
161,06190,06190,SPIWrite [061]=90,SPIWrite [061]=90
162,06208,06208,SPIWrite [062]=08,SPIWrite [062]=08
163,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
164,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
165,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
166,06016,06016,SPIWrite [060]=16,SPIWrite [060]=16
167,061bb,061bb,SPIWrite [061]=BB,SPIWrite [061]=BB
168,062f9,062f9,SPIWrite [062]=F9,SPIWrite [062]=F9
169,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
170,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
171,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
172,06017,06017,SPIWrite [060]=17,SPIWrite [060]=17
173,06177,06177,SPIWrite [061]=77,SPIWrite [061]=77
174,062fd,062fd,SPIWrite [062]=FD,SPIWrite [062]=FD
175,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
176,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
177,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
178,06018,06018,SPIWrite [060]=18,SPIWrite [060]=18
179,061dc,061dc,SPIWrite [061]=DC,SPIWrite [061]=DC
180,06204,06204,SPIWrite [062]=04,SPIWrite [062]=04
181,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
182,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
183,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
184,06019,06019,SPIWrite [060]=19,SPIWrite [060]=19
185,06191,06191,SPIWrite [061]=91,SPIWrite [061]=91
186,062ff,062ff,SPIWrite [062]=FF,SPIWrite [062]=FF
187,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
188,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
189,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
190,0601a,0601a,SPIWrite [060]=1A,SPIWrite [060]=1A
191,06139,06139,SPIWrite [061]=39,SPIWrite [061]=39
192,062fd,062fd,SPIWrite [062]=FD,SPIWrite [062]=FD
193,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
194,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
195,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
196,0601b,0601b,SPIWrite [060]=1B,SPIWrite [060]=1B
197,06156,06156,SPIWrite [061]=56,SPIWrite [061]=56
198,06201,06201,SPIWrite [062]=01,SPIWrite [062]=01
199,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
200,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
201,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
202,0601c,0601c,SPIWrite [060]=1C,SPIWrite [060]=1C
203,06124,06124,SPIWrite [061]=24,SPIWrite [061]=24
204,06201,06201,SPIWrite [062]=01,SPIWrite [062]=01
205,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
206,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
207,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
208,0601d,0601d,SPIWrite [060]=1D,SPIWrite [060]=1D
209,061d1,061d1,SPIWrite [061]=D1,SPIWrite [061]=D1
210,062fe,062fe,SPIWrite [062]=FE,SPIWrite [062]=FE
211,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
212,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
213,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
214,0601e,0601e,SPIWrite [060]=1E,SPIWrite [060]=1E
215,061bb,061bb,SPIWrite [061]=BB,SPIWrite [061]=BB
216,062ff,062ff,SPIWrite [062]=FF,SPIWrite [062]=FF
217,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
218,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
219,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
220,0601f,0601f,SPIWrite [060]=1F,SPIWrite [060]=1F
221,061ed,061ed,SPIWrite [061]=ED,SPIWrite [061]=ED
222,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
223,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
224,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
225,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
226,06020,06020,SPIWrite [060]=20,SPIWrite [060]=20
227,06175,06175,SPIWrite [061]=75,SPIWrite [061]=75
228,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
229,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
230,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
231,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
232,06021,06021,SPIWrite [060]=21,SPIWrite [060]=21
233,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
234,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
235,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
236,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
237,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
238,06022,06022,SPIWrite [060]=22,SPIWrite [060]=22
239,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
240,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
241,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
242,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
243,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
244,06023,06023,SPIWrite [060]=23,SPIWrite [060]=23
245,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
246,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
247,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
248,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
249,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
250,06024,06024,SPIWrite [060]=24,SPIWrite [060]=24
251,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
252,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
253,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
254,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
255,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
256,06025,06025,SPIWrite [060]=25,SPIWrite [060]=25
257,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
258,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
259,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
260,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
261,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
262,06026,06026,SPIWrite [060]=26,SPIWrite [060]=26
263,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
264,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
265,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
266,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
267,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
268,06027,06027,SPIWrite [060]=27,SPIWrite [060]=27
269,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
270,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
271,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
272,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
273,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
274,06028,06028,SPIWrite [060]=28,SPIWrite [060]=28
275,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
276,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
277,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
278,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
279,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
280,06029,06029,SPIWrite [060]=29,SPIWrite [060]=29
281,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
282,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
283,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
284,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
285,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
286,0602a,0602a,SPIWrite [060]=2A,SPIWrite [060]=2A
287,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
288,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
289,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
290,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
291,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
292,0602b,0602b,SPIWrite [060]=2B,SPIWrite [060]=2B
293,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
294,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
295,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
296,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
297,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
298,0602c,0602c,SPIWrite [060]=2C,SPIWrite [060]=2C
299,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
300,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
301,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
302,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
303,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
304,0602d,0602d,SPIWrite [060]=2D,SPIWrite [060]=2D
305,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
306,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
307,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
308,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
309,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
310,0602e,0602e,SPIWrite [060]=2E,SPIWrite [060]=2E
311,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
312,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
313,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
314,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
315,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
316,0602f,0602f,SPIWrite [060]=2F,SPIWrite [060]=2F
317,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
318,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
319,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
320,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
321,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
322,06030,06030,SPIWrite [060]=30,SPIWrite [060]=30
323,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
324,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
325,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
326,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
327,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
328,06031,06031,SPIWrite [060]=31,SPIWrite [060]=31
329,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
330,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
331,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
332,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
333,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
334,06032,06032,SPIWrite [060]=32,SPIWrite [060]=32
335,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
336,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
337,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
338,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
339,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
340,06033,06033,SPIWrite [060]=33,SPIWrite [060]=33
341,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
342,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
343,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
344,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
345,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
346,06034,06034,SPIWrite [060]=34,SPIWrite [060]=34
347,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
348,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
349,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
350,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
351,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
352,06035,06035,SPIWrite [060]=35,SPIWrite [060]=35
353,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
354,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
355,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
356,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
357,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
358,06036,06036,SPIWrite [060]=36,SPIWrite [060]=36
359,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
360,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
361,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
362,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
363,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
364,06037,06037,SPIWrite [060]=37,SPIWrite [060]=37
365,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
366,06200,06200,SPIWrite [062]=00,SPIWrite [062]=00
367,0655e,0655e,SPIWrite [065]=5E,SPIWrite [065]=5E
368,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
369,06400,06400,SPIWrite [064]=00,SPIWrite [064]=00
370,06038,06038,SPIWrite [060]=38,SPIWrite [060]=38
371,06100,06100,SPIWrite [061]=00,SPIWrite [061]=00
