addr,v5,v6,v5_comment,v6_comment
1717,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1718,13808,13808,"SPIWrite [138]=08, Addr Table Index","SPIWrite [138]=08, Addr Table Index"
1719,1395c,1395c,"SPIWrite [139]=5C, Gain","SPIWrite [139]=5C, Gain"
1720,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1721,13b2c,13b2c,"SPIWrite [13B]=2C, GM","SPIWrite [13B]=2C, GM"
1722,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1723,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1724,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1725,13807,13807,"SPIWrite [138]=07, Addr Table Index","SPIWrite [138]=07, Addr Table Index"
1726,13958,13958,"SPIWrite [139]=58, Gain","SPIWrite [139]=58, Gain"
1727,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1728,13b2f,13b2f,"SPIWrite [13B]=2F, GM","SPIWrite [13B]=2F, GM"
1729,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1730,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1731,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1732,13806,13806,"SPIWrite [138]=06, Addr Table Index","SPIWrite [138]=06, Addr Table Index"
1733,13954,13954,"SPIWrite [139]=54, Gain","SPIWrite [139]=54, Gain"
1734,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1735,13b31,13b31,"SPIWrite [13B]=31, GM","SPIWrite [13B]=31, GM"
1736,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1737,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1738,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1739,13805,13805,"SPIWrite [138]=05, Addr Table Index","SPIWrite [138]=05, Addr Table Index"
1740,13950,13950,"SPIWrite [139]=50, Gain","SPIWrite [139]=50, Gain"
1741,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1742,13b33,13b33,"SPIWrite [13B]=33, GM","SPIWrite [13B]=33, GM"
1743,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1744,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1745,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1746,13804,13804,"SPIWrite [138]=04, Addr Table Index","SPIWrite [138]=04, Addr Table Index"
1747,1394c,1394c,"SPIWrite [139]=4C, Gain","SPIWrite [139]=4C, Gain"
1748,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1749,13b34,13b34,"SPIWrite [13B]=34, GM","SPIWrite [13B]=34, GM"
1750,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
1751,13c00,13c00,"SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)","SPIWrite [13C]=00, Delay for 3 ADCCLK/16 clock cycles (Dummy Write)"
1752,13c00,13c00,"SPIWrite [13C]=00, Delay ~1us (Dummy Write)","SPIWrite [13C]=00, Delay ~1us (Dummy Write)"
1753,13803,13803,"SPIWrite [138]=03, Addr Table Index","SPIWrite [138]=03, Addr Table Index"
1754,13948,13948,"SPIWrite [139]=48, Gain","SPIWrite [139]=48, Gain"
1755,13a00,13a00,"SPIWrite [13A]=00, Bias","SPIWrite [13A]=00, Bias"
1756,13b35,13b35,"SPIWrite [13B]=35, GM","SPIWrite [13B]=35, GM"
1757,13f06,13f06,"SPIWrite [13F]=06, Write Words","SPIWrite [13F]=06, Write Words"
