Sample in Buffer,Sample in Window,TRIGGER,rx_data_valid,rx_data_I[11:0],user_probe_0[4:0],rx_data_Q[11:0],user_probe_1[4:0],valid,bit_out[2:0],phase_out[10:0],tx_data_I[11:0],tx_data_Q[11:0],delta_out[2:0],out_i[11:0],out_q[11:0],bit_in[2:0],bit_in_d1[2:0],data_in_int[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,HEX,UNSIGNED,UNSIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,HEX,HEX,SIGNED
0,0,0,1,-949,11,87,-9,0,4,1133,1892,783,0,145,-453,4,3,453
1,1,0,0,-1450,-10,-195,-3,0,4,1133,1892,783,0,145,-453,4,3,453
2,2,0,1,-1450,-10,-195,-3,1,4,1158,1892,783,0,380,-624,4,3,447
3,3,0,0,-728,8,-300,-12,1,4,1158,1892,783,0,380,-624,4,3,447
4,4,0,1,-728,8,-300,-12,0,5,1334,1892,783,1,289,-266,5,4,521
5,5,0,0,806,6,-490,-10,0,5,1334,1892,783,1,289,-266,5,4,521
6,6,0,1,806,6,-490,-10,0,6,1636,1892,783,1,53,467,6,4,549
7,7,0,0,1117,-3,-660,12,0,6,1636,1892,783,1,53,467,6,4,549
8,8,0,1,1117,-3,-660,12,1,6,1714,1892,783,1,57,644,6,4,499
9,9,0,0,597,-11,-389,-5,1,6,1714,1892,783,1,57,644,6,4,499
10,10,0,1,597,-11,-389,-5,0,7,1806,783,1892,2,49,352,7,6,613
11,11,0,0,-879,-15,689,-15,0,7,1806,783,1892,2,49,352,7,6,613
12,12,0,1,-879,-15,689,-15,0,1,476,783,1892,2,-109,-547,1,6,521
13,13,0,0,-1111,9,715,11,0,1,476,783,1892,2,-109,-547,1,6,521
14,14,0,1,-1111,9,715,11,1,1,484,783,1892,2,-60,-657,1,6,421
15,15,0,0,-461,-13,565,-11,1,1,484,783,1892,2,-60,-657,1,6,421
16,16,0,1,-461,-13,565,-11,0,1,468,-1892,783,3,-148,-333,1,1,337
17,17,0,0,1087,-1,-122,6,0,1,468,-1892,783,3,-148,-333,1,1,337
18,18,0,1,1087,-1,-122,6,0,5,1472,-1892,783,3,-214,502,5,1,273
19,19,0,0,1421,13,90,-6,0,5,1472,-1892,783,3,-214,502,5,1,273
20,20,0,1,1421,13,90,-6,1,5,1506,-1892,783,3,-369,607,5,1,175
21,21,0,0,962,2,-351,1,1,5,1506,-1892,783,3,-369,607,5,1,175
22,22,0,1,962,2,-351,1,0,5,1400,783,-1892,4,-49,508,5,5,183
23,23,0,0,-4,-4,-864,0,0,5,1400,783,-1892,4,-49,508,5,5,183
24,24,0,1,-4,-4,-864,0,0,2,643,783,-1892,4,395,171,2,5,180
25,25,0,0,-33,-1,-1338,6,0,2,643,783,-1892,4,395,171,2,5,180
26,26,0,1,-33,-1,-1338,6,1,2,690,783,-1892,4,624,238,2,5,130
27,27,0,0,-145,15,-1022,2,1,2,690,783,-1892,4,624,238,2,5,130
28,28,0,1,-145,15,-1022,2,0,2,543,-783,1892,5,504,108,2,2,227
29,29,0,0,-751,-15,-824,8,0,2,543,-783,1892,5,504,108,2,2,227
30,30,0,1,-751,-15,-824,8,0,0,132,-783,1892,5,516,-206,0,2,223
31,31,0,0,-946,14,-798,2,0,0,132,-783,1892,5,516,-206,0,2,223
32,32,0,1,-946,14,-798,2,1,0,117,-783,1892,5,537,-306,0,2,234
33,33,0,0,-972,-12,-886,10,1,0,117,-783,1892,5,537,-306,0,2,234
34,34,0,1,-972,-12,-886,10,0,0,69,1892,-783,6,577,-314,0,0,293
35,35,0,0,-645,-5,-870,-6,0,0,69,1892,-783,6,577,-314,0,0,293
36,36,0,1,-645,-5,-870,-6,0,7,1926,1892,-783,6,520,-143,7,0,287
37,37,0,0,-1039,-15,-837,-5,0,7,1926,1892,-783,6,520,-143,7,0,287
38,38,0,1,-1039,-15,-837,-5,1,7,1880,1892,-783,6,576,-332,7,0,327
39,39,0,0,-524,-12,-924,4,1,7,1880,1892,-783,6,576,-332,7,0,327
40,40,0,1,-524,-12,-924,4,0,7,1887,-783,-1892,7,524,-77,7,7,360
41,41,0,0,-142,-14,-1062,-6,0,7,1887,-783,-1892,7,524,-77,7,7,360
42,42,0,1,-142,-14,-1062,-6,0,7,1963,-783,-1892,7,516,138,7,7,317
43,43,0,0,288,0,-1233,15,0,7,1963,-783,-1892,7,516,138,7,7,317
44,44,0,1,288,0,-1233,15,1,7,1878,-783,-1892,7,512,369,7,7,359
45,45,0,0,286,-2,-764,4,1,7,1878,-783,-1892,7,512,369,7,7,359
46,46,0,1,286,-2,-764,4,0,7,2001,-1892,-783,0,293,282,7,7,278
47,47,0,0,1082,-6,-166,-6,0,7,2001,-1892,-783,0,293,282,7,7,278
48,48,0,1,1082,-6,-166,-6,0,0,84,-1892,-783,0,-148,525,0,7,322
49,49,0,0,1345,1,236,12,0,0,84,-1892,-783,0,-148,525,0,7,322
50,50,0,1,1345,1,236,12,1,0,202,-1892,-783,0,-375,569,0,7,248
51,51,0,0,780,12,193,1,1,0,202,-1892,-783,0,-375,569,0,7,248
52,52,0,1,780,12,193,1,0,0,249,-1892,-783,1,-249,314,0,0,127
53,53,0,0,-853,11,552,8,0,0,249,-1892,-783,1,-249,314,0,0,127
54,54,0,1,-853,11,552,8,0,2,601,-1892,-783,1,-91,-500,2,0,166
55,55,0,0,-1114,6,814,14,0,2,601,-1892,-783,1,-91,-500,2,0,166
56,56,0,1,-1114,6,814,14,1,2,700,-1892,-783,1,-148,-673,2,0,106
57,57,0,0,-583,-7,198,6,1,2,700,-1892,-783,1,-148,-673,2,0,106
58,58,0,1,-583,-7,198,6,0,2,729,-783,-1892,2,17,-307,2,2,17
59,59,0,0,836,4,-410,6,0,2,729,-783,-1892,2,17,-307,2,2,17
60,60,0,1,836,4,-410,6,0,5,1478,-783,-1892,2,53,461,5,2,-53
61,61,0,0,1148,-4,-914,14,0,5,1478,-783,-1892,2,53,461,5,2,-53
62,62,0,1,1148,-4,-914,14,1,5,1466,-783,-1892,2,230,696,5,2,-111
63,63,0,0,401,-15,-296,-8,1,5,1466,-783,-1892,2,230,696,5,2,-111
64,64,0,1,401,-15,-296,-8,0,6,1553,1892,-783,3,75,237,6,5,0
65,65,0,0,-1026,-2,-158,2,0,6,1553,1892,-783,3,75,237,6,5,0
66,66,0,1,-1026,-2,-158,2,0,1,475,1892,-783,3,222,-468,1,5,-91
67,67,0,0,-1562,6,91,-5,0,1,475,1892,-783,3,222,-468,1,5,-91
68,68,0,1,-1562,6,91,-5,1,1,409,1892,-783,3,162,-765,1,5,-116
69,69,0,0,-844,-12,149,-11,1,1,409,1892,-783,3,162,-765,1,5,-116
70,70,0,1,-844,-12,149,-11,0,1,412,-783,1892,4,29,-427,1,1,-144
71,71,0,0,-89,7,987,-5,0,1,412,-783,1892,4,29,-427,1,1,-144
72,72,0,1,-89,7,987,-5,0,6,1680,-783,1892,4,-462,-179,6,1,-160
73,73,0,0,106,10,1306,-6,0,6,1680,-783,1892,4,-462,-179,6,1,-160
74,74,0,1,106,10,1306,-6,1,6,1603,-783,1892,4,-645,-110,6,1,-99
75,75,0,0,140,12,1068,12,1,6,1603,-783,1892,4,-645,-110,6,1,-99
76,76,0,1,140,12,1068,12,0,6,1557,783,-1892,5,-535,-58,6,6,8
77,77,0,0,718,14,755,-13,0,6,1557,783,-1892,5,-535,-58,6,6,8
78,78,0,1,718,14,755,-13,0,4,1143,783,-1892,5,-447,265,4,6,17
79,79,0,0,1063,7,785,-15,0,4,1143,783,-1892,5,-447,265,4,6,17
80,80,0,1,1063,7,785,-15,1,4,1078,783,-1892,5,-495,437,4,6,91
81,81,0,0,852,-12,863,-1,1,4,1078,783,-1892,5,-495,437,4,6,91
82,82,0,1,852,-12,863,-1,0,4,1058,-1892,783,6,-519,312,4,4,185
83,83,0,0,842,10,839,7,0,4,1058,-1892,783,6,-519,312,4,4,185
84,84,0,1,842,10,839,7,0,3,850,-1892,783,6,-517,291,3,4,231
85,85,0,0,870,6,815,15,0,3,850,-1892,783,6,-517,291,3,4,231
86,86,0,1,870,6,815,15,1,3,789,-1892,783,6,-511,304,3,4,338
87,87,0,0,745,9,889,-7,1,3,789,-1892,783,6,-511,304,3,4,338
88,88,0,1,745,9,889,-7,0,3,847,783,1892,7,-535,222,3,3,387
89,89,0,0,-75,-11,1110,-10,0,3,847,783,1892,7,-535,222,3,3,387
90,90,0,1,-75,-11,1110,-10,0,3,859,783,1892,7,-510,-221,3,3,424
91,91,0,0,-42,-10,1240,-8,0,3,859,783,1892,7,-510,-221,3,3,424
92,92,0,1,-42,-10,1240,-8,1,3,849,783,1892,7,-572,-238,3,3,471
93,93,0,0,-508,4,796,-4,1,3,849,783,1892,7,-572,-238,3,3,471
94,94,0,1,-508,4,796,-4,0,3,897,1892,783,0,-270,-388,3,3,470
95,95,0,0,-904,-8,62,-2,0,3,897,1892,783,0,-270,-388,3,3,470
96,96,0,1,-904,-8,62,-2,0,4,1156,1892,783,0,153,-426,4,3,466
97,97,0,0,-1515,-11,-194,-2,0,4,1156,1892,783,0,153,-426,4,3,466
98,98,0,1,-1515,-11,-194,-2,1,4,1151,1892,783,0,404,-646,4,3,467
99,99,0,0,-678,-6,-266,-10,1,4,1151,1892,783,0,404,-646,4,3,467
100,100,0,1,-678,-6,-266,-10,0,5,1339,1892,783,1,267,-247,5,4,536
101,101,0,0,773,5,-525,-13,0,5,1339,1892,783,1,267,-247,5,4,536
102,102,0,1,773,5,-525,-13,0,6,1647,1892,783,1,67,461,6,4,553
103,103,0,0,1170,-14,-670,2,0,6,1647,1892,783,1,67,461,6,4,553
104,104,0,1,1170,-14,-670,2,1,6,1718,1892,783,1,46,671,6,4,499
105,105,0,0,508,-4,-319,1,1,6,1718,1892,783,1,46,671,6,4,499
106,106,0,1,508,-4,-319,1,0,7,1806,783,1892,2,32,297,7,6,613
107,107,0,0,-770,-2,603,-5,0,7,1806,783,1892,2,32,297,7,6,613
108,108,0,1,-770,-2,603,-5,0,1,466,783,1892,2,-89,-481,1,6,531
109,109,0,0,-1221,-5,787,-13,0,1,466,783,1892,2,-89,-481,1,6,531
110,110,0,1,-1221,-5,787,-13,1,1,491,783,1892,2,-62,-722,1,6,424
111,111,0,0,-347,5,494,14,1,1,491,783,1892,2,-62,-722,1,6,424
112,112,0,1,-347,5,494,14,0,1,477,-1892,783,3,-142,-266,1,1,331
113,113,0,0,962,2,-69,-5,0,1,477,-1892,783,3,-142,-266,1,1,331
114,114,0,1,962,2,-69,-5,0,5,1477,-1892,783,3,-206,434,5,1,262
115,115,0,0,1548,12,59,-5,0,5,1477,-1892,783,3,-206,434,5,1,262
116,116,0,1,1548,12,59,-5,1,5,1509,-1892,783,3,-388,668,5,1,161
117,117,0,0,827,-5,-325,-5,1,5,1509,-1892,783,3,-388,668,5,1,161
118,118,0,1,827,-5,-325,-5,0,5,1377,783,-1892,4,-32,442,5,5,192
119,119,0,0,113,-15,-894,2,0,5,1377,783,-1892,4,-32,442,5,5,192
120,120,0,1,113,-15,-894,2,0,2,656,783,-1892,4,385,231,2,5,176
121,121,0,0,-107,-11,-1309,3,0,2,656,783,-1892,4,385,231,2,5,176
122,122,0,1,-107,-11,-1309,3,1,2,683,783,-1892,4,625,194,2,5,133
123,123,0,0,-123,5,-1049,7,1,2,683,783,-1892,4,625,194,2,5,133
124,124,0,1,-123,5,-1049,7,0,2,535,-783,1892,5,513,120,2,2,238
125,125,0,0,-693,11,-811,-11,0,2,535,-783,1892,5,513,120,2,2,238
126,126,0,1,-693,11,-811,-11,0,0,175,-783,1892,5,500,-181,0,2,191
127,127,0,0,-1091,-3,-791,9,0,0,175,-783,1892,5,500,-181,0,2,191
128,128,0,1,-1091,-3,-791,9,1,0,97,-783,1892,5,559,-375,0,2,222
129,129,0,0,-768,0,-895,1,1,0,97,-783,1892,5,559,-375,0,2,222
130,130,0,1,-768,0,-895,1,0,0,75,1892,-783,6,548,-216,0,0,275
131,131,0,0,-835,-3,-863,1,0,0,75,1892,-783,6,548,-216,0,0,275
132,132,0,1,-835,-3,-863,1,0,7,1936,1892,-783,6,553,-229,7,0,259
133,133,0,0,-884,12,-853,11,0,7,1936,1892,-783,6,553,-229,7,0,259
134,134,0,1,-884,12,-853,11,1,7,1857,1892,-783,6,553,-263,7,0,322
135,135,0,0,-665,7,-915,13,1,7,1857,1892,-783,6,553,-263,7,0,322
136,136,0,1,-665,7,-915,13,0,7,1926,-783,-1892,7,544,-148,7,7,316
137,137,0,0,-29,3,-1062,-6,0,7,1926,-783,-1892,7,544,-148,7,7,316
138,138,0,1,-29,3,-1062,-6,0,7,1921,-783,-1892,7,496,187,7,7,315
139,139,0,0,180,-12,-1250,-2,0,7,1921,-783,-1892,7,496,187,7,7,315
140,140,0,1,180,-12,-1250,-2,1,7,1905,-783,-1892,7,545,316,7,7,330
141,141,0,0,373,-11,-733,3,1,7,1905,-783,-1892,7,545,316,7,7,330
142,142,0,1,373,-11,-733,3,0,7,1962,-1892,-783,0,261,316,7,7,288
143,143,0,0,1036,12,-205,-13,0,7,1962,-1892,-783,0,261,316,7,7,288
144,144,0,1,1036,12,-205,-13,0,0,116,-1892,-783,0,-112,515,0,7,300
145,145,0,0,1350,6,281,-7,0,0,116,-1892,-783,0,-112,515,0,7,300
146,146,0,1,1350,6,281,-7,1,0,171,-1892,-783,0,-397,562,0,7,257
147,147,0,0,759,-9,127,-1,1,0,171,-1892,-783,0,-397,562,0,7,257
148,148,0,1,759,-9,127,-1,0,1,288,-1892,-783,1,-211,321,1,0,353
149,149,0,0,-794,6,627,-13,0,1,288,-1892,-783,1,-211,321,1,0,353
150,150,0,1,-794,6,627,-13,0,2,582,-1892,-783,1,-137,-487,2,0,411
151,151,0,0,-1172,12,720,-16,0,2,582,-1892,-783,1,-137,-487,2,0,411
152,152,0,1,-1172,12,720,-16,1,2,712,-1892,-783,1,-102,-679,2,0,339
153,153,0,0,-535,9,311,-9,1,2,712,-1892,-783,1,-102,-679,2,0,339
154,154,0,1,-535,9,311,-9,0,2,701,-783,-1892,2,-43,-307,2,2,278
155,155,0,0,811,11,-506,6,0,2,701,-783,-1892,2,-43,-307,2,2,278
156,156,0,1,811,11,-506,6,0,5,1447,-783,-1892,2,62,472,5,2,239
157,157,0,0,1157,5,-839,-7,0,5,1447,-783,-1892,2,62,472,5,2,239
158,158,0,1,1157,5,-839,-7,1,5,1488,-783,-1892,2,124,702,5,2,159
159,159,0,0,407,-9,-352,0,1,5,1488,-783,-1892,2,124,702,5,2,159
160,160,0,1,407,-9,-352,0,0,5,1492,1892,-783,3,77,257,5,5,75
161,161,0,0,-1055,1,-94,2,0,5,1492,1892,-783,3,77,257,5,5,75
162,162,0,1,-1055,1,-94,2,0,1,470,1892,-783,3,249,-466,1,5,-11
163,163,0,0,-1487,-15,10,10,0,1,470,1892,-783,3,249,-466,1,5,-11
164,164,0,1,-1487,-15,10,10,1,1,455,1892,-783,3,272,-691,1,5,-82
165,165,0,0,-979,13,213,-11,1,1,455,1892,-783,3,272,-691,1,5,-82
166,166,0,1,-979,13,213,-11,0,1,418,-783,1892,4,69,-496,1,1,-116
167,167,0,0,81,-15,950,-10,0,1,418,-783,1892,4,69,-496,1,1,-116
168,168,0,1,81,-15,950,-10,0,6,1695,-783,1892,4,-463,-112,6,1,-147
169,169,0,0,-75,-11,1301,-11,0,6,1695,-783,1892,4,-463,-112,6,1,-147
170,170,0,1,-75,-11,1301,-11,1,6,1658,-783,1892,4,-611,-223,6,1,-141
171,171,0,0,268,12,1101,13,1,6,1658,-783,1892,4,-611,-223,6,1,-141
172,172,0,1,268,12,1101,13,0,6,1580,783,-1892,5,-566,-13,6,6,-57
173,173,0,0,656,-16,749,13,0,6,1580,783,-1892,5,-566,-13,6,6,-57
174,174,0,1,656,-16,749,13,0,4,1101,783,-1892,5,-442,227,4,6,-6
175,175,0,0,1058,2,787,-13,0,4,1101,783,-1892,5,-442,227,4,6,-6
176,176,0,1,1058,2,787,-13,1,4,1137,783,-1892,5,-504,424,4,6,9
177,177,0,0,886,-10,864,0,1,4,1137,783,-1892,5,-504,424,4,6,9
178,178,0,1,886,-10,864,0,0,4,1031,-1892,783,6,-522,332,4,4,130
179,179,0,0,763,-5,839,7,0,4,1031,-1892,783,6,-522,332,4,4,130
180,180,0,1,763,-5,839,7,0,3,871,-1892,783,6,-504,259,3,4,155
181,181,0,0,964,4,814,14,0,3,871,-1892,783,6,-504,259,3,4,155
182,182,0,1,964,4,814,14,1,3,797,-1892,783,6,-524,350,3,4,254
183,183,0,0,595,-13,894,-2,1,3,797,-1892,783,6,-524,350,3,4,254
184,184,0,1,595,-13,894,-2,0,3,840,783,1892,7,-511,162,3,3,310
185,185,0,0,121,-7,1115,-5,0,3,840,783,1892,7,-511,162,3,3,310
186,186,0,1,121,-7,1115,-5,0,3,870,783,1892,7,-547,-123,3,3,336
187,187,0,0,-290,-2,1210,-6,0,3,870,783,1892,7,-547,-123,3,3,336
188,188,0,1,-290,-2,1210,-6,1,3,834,783,1892,7,-524,-336,3,3,398
189,189,0,0,-262,-6,833,1,1,3,834,783,1892,7,-524,-336,3,3,398
190,190,0,1,-262,-6,833,1,0,3,924,1892,783,0,-340,-273,3,3,370
191,191,0,0,-1142,10,46,14,0,3,924,1892,783,0,-340,-273,3,3,370
192,192,0,1,-1142,10,46,14,0,4,1094,1892,783,0,198,-536,4,3,428
193,193,0,0,-1331,13,-217,7,0,4,1094,1892,783,0,198,-536,4,3,428
194,194,0,1,-1331,13,-217,7,1,4,1209,1892,783,0,363,-567,4,3,371
195,195,0,0,-788,12,-231,-7,1,4,1209,1892,783,0,363,-567,4,3,371
196,196,0,1,-788,12,-231,-7,0,4,1243,1892,783,1,269,-309,4,4,280
197,197,0,0,812,12,-534,10,0,4,1243,1892,783,1,269,-309,4,4,280
198,198,0,1,812,12,-534,10,0,6,1650,1892,783,1,77,479,6,4,294
199,199,0,0,1153,1,-715,-11,0,6,1650,1892,783,1,77,479,6,4,294
200,200,0,1,1153,1,-715,-11,1,6,1720,1892,783,1,74,672,6,4,238
201,201,0,0,553,9,-238,-14,1,6,1720,1892,783,1,74,672,6,4,238
202,202,0,1,553,9,-238,-14,0,6,1768,783,1892,2,-5,300,6,6,134
203,203,0,0,-855,9,529,-15,0,6,1768,783,1892,2,-5,300,6,6,134
204,204,0,1,-855,9,529,-15,0,1,461,783,1892,2,-83,-496,1,6,57
205,205,0,0,-1147,5,826,-6,0,1,461,783,1892,2,-83,-496,1,6,57
206,206,0,1,-1147,5,826,-6,1,1,477,783,1892,2,-161,-688,1,6,-36
207,207,0,0,-421,-5,467,-13,1,1,477,783,1892,2,-161,-688,1,6,-36
208,208,0,1,-421,-5,467,-13,0,2,516,-1892,783,3,-140,-282,2,1,88
209,209,0,0,1028,4,-33,-1,0,2,516,-1892,783,3,-140,-282,2,1,88
210,210,0,1,1028,4,-33,-1,0,5,1483,-1892,783,3,-154,490,5,1,13
211,211,0,0,1500,-4,-2,-2,0,5,1483,-1892,783,3,-154,490,5,1,13
212,212,0,1,1500,-4,-2,-2,1,5,1462,-1892,783,3,-224,715,5,1,-41
213,213,0,0,851,-13,-249,7,1,5,1462,-1892,783,3,-224,715,5,1,-41
214,214,0,1,851,-13,-249,7,0,5,1386,783,-1892,4,7,442,5,5,-19
215,215,0,0,131,3,-957,3,0,5,1386,783,-1892,4,7,442,5,5,-19
216,216,0,1,131,3,-957,3,0,2,611,783,-1892,4,433,210,2,5,10
217,217,0,0,-130,-2,-1259,-11,0,2,611,783,-1892,4,433,210,2,5,10
218,218,0,1,-130,-2,-1259,-11,1,2,611,783,-1892,4,620,114,2,5,39
219,219,0,0,-115,13,-1072,-16,1,2,611,783,-1892,4,620,114,2,5,39
220,220,0,1,-115,13,-1072,-16,0,1,508,-783,1892,5,531,82,1,2,-85
221,221,0,0,-726,10,-806,-6,0,1,508,-783,1892,5,531,82,1,2,-85
222,222,0,1,-726,10,-806,-6,0,0,147,-783,1892,5,483,-244,0,2,-104
223,223,0,0,-991,1,-801,-1,0,0,147,-783,1892,5,483,-244,0,2,-104
224,224,0,1,-991,1,-801,-1,1,0,58,-783,1892,5,520,-365,0,2,-34
225,225,0,0,-905,-9,-891,5,1,0,58,-783,1892,5,520,-365,0,2,-34
226,226,0,1,-905,-9,-891,5,0,0,49,1892,-783,6,555,-305,0,0,45
227,227,0,0,-724,12,-854,10,0,0,49,1892,-783,6,555,-305,0,0,45
228,228,0,1,-724,12,-854,10,0,7,1896,1892,-783,6,500,-249,7,0,69
229,229,0,0,-947,13,-864,0,0,7,1896,1892,-783,6,500,-249,7,0,69
230,230,0,1,-947,13,-864,0,1,7,1850,1892,-783,6,528,-362,7,0,139
231,231,0,0,-610,-2,-885,11,1,7,1850,1892,-783,6,528,-362,7,0,139
232,232,0,1,-610,-2,-885,11,0,7,1885,-783,-1892,7,504,-184,7,7,174
233,233,0,0,-79,-15,-1106,14,0,7,1885,-783,-1892,7,504,-184,7,7,174
234,234,0,1,-79,-15,-1106,14,0,7,1899,-783,-1892,7,540,117,7,7,195
235,235,0,0,254,-2,-1183,1,0,7,1899,-783,-1892,7,540,117,7,7,195
236,236,0,1,254,-2,-1183,1,1,7,1854,-783,-1892,7,528,291,7,7,261
237,237,0,0,283,-5,-806,-6,1,7,1854,-783,-1892,7,528,291,7,7,261
238,238,0,1,283,-5,-806,-6,0,7,1934,-1892,-783,0,336,261,7,7,247
239,239,0,0,1121,1,-140,-12,0,7,1934,-1892,-783,0,336,261,7,7,247
240,240,0,1,1121,1,-140,-12,0,0,69,-1892,-783,0,-118,551,0,7,306
241,241,0,0,1286,6,226,2,0,0,69,-1892,-783,0,-118,551,0,7,306
242,242,0,1,1286,6,226,2,1,0,162,-1892,-783,0,-322,567,0,7,272
243,243,0,0,798,-2,179,-13,1,0,162,-1892,-783,0,-322,567,0,7,272
244,244,0,1,798,-2,179,-13,0,0,214,-1892,-783,1,-226,339,0,0,186
245,245,0,0,-812,-12,596,-12,0,0,214,-1892,-783,1,-226,339,0,0,186
246,246,0,1,-812,-12,596,-12,0,2,580,-1892,-783,1,-136,-484,2,0,246
247,247,0,0,-1196,-12,715,11,0,2,580,-1892,-783,1,-136,-484,2,0,246
248,248,0,1,-1196,-12,715,11,1,2,680,-1892,-783,1,-108,-687,2,0,206
249,249,0,0,-478,2,348,-4,1,2,680,-1892,-783,1,-108,-687,2,0,206
250,250,0,1,-478,2,348,-4,0,2,703,-783,-1892,2,-76,-286,2,2,143
251,251,0,0,758,-10,-578,-2,0,2,703,-783,-1892,2,-76,-286,2,2,143
252,252,0,1,758,-10,-578,-2,0,5,1447,-783,-1892,2,148,452,5,2,104
253,253,0,0,1192,8,-739,-3,0,5,1447,-783,-1892,2,148,452,5,2,104
254,254,0,1,1192,8,-739,-3,1,5,1485,-783,-1892,2,135,686,5,2,27
255,255,0,0,388,4,-477,3,1,5,1485,-783,-1892,2,135,686,5,2,27
256,256,0,1,388,4,-477,3,0,5,1452,1892,-783,3,158,263,5,5,-17
257,257,0,0,-1036,-12,35,3,0,5,1452,1892,-783,3,158,263,5,5,-17
258,258,0,1,-1036,-12,35,3,0,1,409,1892,-783,3,147,-497,1,5,-42
259,259,0,0,-1542,-6,-99,-3,0,1,409,1892,-783,3,147,-497,1,5,-42
260,260,0,1,-1542,-6,-99,-3,1,1,450,1892,-783,3,277,-721,1,5,-108
261,261,0,0,-881,15,296,8,1,1,450,1892,-783,3,277,-721,1,5,-108
262,262,0,1,-881,15,296,8,0,1,336,-783,1892,4,-24,-464,1,1,-60
263,263,0,0,-41,-9,904,8,0,1,336,-783,1892,4,-24,-464,1,1,-60
264,264,0,1,-41,-9,904,8,0,6,1629,-783,1892,4,-432,-134,6,1,-25
265,265,0,0,62,-2,1323,11,0,6,1629,-783,1892,4,-432,-134,6,1,-25
266,266,0,1,62,-2,1323,11,1,6,1655,-783,1892,4,-649,-129,6,1,-16
267,267,0,0,156,-4,1093,5,1,6,1655,-783,1892,4,-649,-129,6,1,-16
268,268,0,1,156,-4,1093,5,0,5,1519,783,-1892,5,-550,-42,5,6,-127
269,269,0,0,722,-14,746,10,0,5,1519,783,-1892,5,-550,-42,5,6,-127
270,270,0,1,722,-14,746,10,0,4,1122,783,-1892,5,-447,263,4,6,-97
271,271,0,0,1011,-13,769,1,0,4,1122,783,-1892,5,-447,263,4,6,-97
272,272,0,1,1011,-13,769,1,1,4,1087,783,-1892,5,-494,397,4,6,-32
273,273,0,0,912,-16,873,9,1,4,1087,783,-1892,5,-494,397,4,6,-32
274,274,0,1,912,-16,873,9,0,4,1048,-1892,783,6,-535,333,4,4,72
275,275,0,0,772,4,861,-3,0,4,1048,-1892,783,6,-535,333,4,4,72
276,276,0,1,772,4,861,-3,0,3,852,-1892,783,6,-498,292,3,4,116
277,277,0,0,911,15,790,-10,0,3,852,-1892,783,6,-498,292,3,4,116
278,278,0,1,911,15,790,-10,1,3,805,-1892,783,6,-481,362,3,4,207
279,279,0,0,668,-4,898,2,1,3,805,-1892,783,6,-481,362,3,4,207
280,280,0,1,668,-4,898,2,0,3,843,783,1892,7,-515,218,3,3,260
281,281,0,0,59,-5,1127,7,0,3,843,783,1892,7,-515,218,3,3,260
282,282,0,1,59,-5,1127,7,0,3,852,783,1892,7,-550,-124,3,3,304
283,283,0,0,-245,11,1200,-16,0,3,852,783,1892,7,-550,-124,3,3,304
284,284,0,1,-245,11,1200,-16,1,3,814,783,1892,7,-538,-290,3,3,386
285,285,0,0,-283,5,833,1,1,3,814,783,1892,7,-538,-290,3,3,386
286,286,0,1,-283,5,833,1,0,3,894,1892,783,0,-350,-266,3,3,388
287,287,0,0,-1095,-7,56,-8,0,3,894,1892,783,0,-350,-266,3,3,388
288,288,0,1,-1095,-7,56,-8,0,4,1096,1892,783,0,156,-525,4,3,444
289,289,0,0,-1406,2,-220,4,0,4,1096,1892,783,0,156,-525,4,3,444
290,290,0,1,-1406,2,-220,4,1,4,1184,1892,783,0,349,-618,4,3,412
291,291,0,0,-720,-16,-242,14,1,4,1184,1892,783,0,349,-618,4,3,412
292,292,0,1,-720,-16,-242,14,0,4,1235,1892,783,1,250,-286,4,4,329
293,293,0,0,753,-15,-525,-13,0,4,1235,1892,783,1,250,-286,4,4,329
294,294,0,1,753,-15,-525,-13,0,6,1630,1892,783,1,97,448,6,4,363
295,295,0,0,1179,-5,-676,-4,0,6,1630,1892,783,1,97,448,6,4,363
296,296,0,1,1179,-5,-676,-4,1,6,1703,1892,783,1,67,675,6,4,324
297,297,0,0,517,5,-315,5,1,6,1703,1892,783,1,67,675,6,4,324
298,298,0,1,517,5,-315,5,0,6,1769,783,1892,2,41,299,6,6,219
299,299,0,0,-793,7,604,-4,0,6,1769,783,1892,2,41,299,6,6,219
300,300,0,1,-793,7,604,-4,0,1,443,783,1892,2,-135,-479,1,6,160
301,301,0,0,-1187,-3,783,15,0,1,443,783,1892,2,-135,-479,1,6,160
302,302,0,1,-1187,-3,783,15,1,1,481,783,1892,2,-137,-697,1,6,63
303,303,0,0,-428,-12,535,-9,1,1,481,783,1892,2,-137,-697,1,6,63
304,304,0,1,-428,-12,535,-9,0,1,469,-1892,783,3,-170,-297,1,1,-22
305,305,0,0,1088,0,-134,-6,0,1,469,-1892,783,3,-170,-297,1,1,-22
306,306,0,1,1088,0,-134,-6,0,5,1447,-1892,783,3,-116,535,5,1,-61
307,307,0,0,1438,-2,130,2,0,5,1447,-1892,783,3,-116,535,5,1,-61
308,308,0,1,1438,-2,130,2,1,5,1473,-1892,783,3,-285,662,5,1,-126
309,309,0,0,907,11,-421,-5,1,5,1473,-1892,783,3,-285,662,5,1,-126
